iter	RMSE
0	7467.628591
1	7231.008851
2	7005.668541
3	6779.356078
4	6590.173712
5	6378.564804
6	6205.024271
7	6025.427729
8	5870.786365
9	5686.726211
10	5523.258626
11	5364.213972
12	5231.144047
13	5083.972894
14	4953.169703
15	4800.062566
16	4662.426436
17	4546.194124
18	4416.056332
19	4289.945591
20	4183.140652
21	4062.014454
22	3946.736187
23	3851.997895
24	3747.653668
25	3646.333661
26	3549.841612
27	3455.869312
28	3374.997685
29	3287.900105
30	3204.130196
31	3110.127383
32	3037.207477
33	2968.99613
34	2907.083251
35	2845.641124
36	2781.409147
37	2720.606787
38	2657.947553
39	2603.348161
40	2545.896642
41	2484.042335
42	2434.588449
43	2383.266391
44	2337.04387
45	2300.255689
46	2254.747403
47	2208.279543
48	2167.102988
49	2128.261841
50	2092.835585
51	2058.20151
52	2029.780013
53	1998.70056
54	1964.390623
55	1929.698944
56	1893.752583
57	1866.267297
58	1834.599737
59	1804.890926
60	1779.526466
61	1759.352523
62	1729.764927
63	1702.299725
64	1682.047391
65	1663.747863
66	1644.054117
67	1626.144681
68	1607.804216
69	1587.017295
70	1562.56204
71	1543.948878
72	1527.38383
73	1514.997428
74	1502.331591
75	1491.637195
76	1476.643633
77	1465.240297
78	1450.760834
79	1439.29566
80	1427.529462
81	1414.017898
82	1403.440221
83	1389.303822
84	1375.874785
85	1361.97618
86	1349.161622
87	1338.018713
88	1324.692339
89	1311.548174
90	1303.161226
91	1295.225467
92	1282.722711
93	1274.921422
94	1263.469593
95	1253.332011
96	1249.531632
97	1242.833223
98	1233.387308
99	1224.566444
100	1217.479624
101	1207.82197
102	1199.002193
103	1191.411846
104	1180.589337
105	1171.179316
106	1161.951505
107	1156.411542
108	1151.940859
109	1144.482235
110	1138.052396
111	1128.088608
112	1122.871968
113	1115.467646
114	1108.384927
115	1103.070213
116	1096.281395
117	1090.437969
118	1086.162183
119	1081.312108
120	1078.113701
121	1074.346863
122	1068.576533
123	1064.696314
124	1060.471679
125	1055.392066
126	1051.530855
127	1046.629088
128	1041.006323
129	1033.819136
130	1028.130928
131	1023.167641
132	1019.618728
133	1013.765418
134	1009.729383
135	1006.773389
136	1002.215602
137	997.1761225
138	993.6021845
139	989.5883942
140	980.697183
141	977.7360987
142	971.7486221
143	966.8423275
144	961.1809944
145	957.8711251
146	951.7976669
147	949.263965
148	946.9794429
149	942.0777364
150	939.4983402
151	936.2778933
152	931.1699391
153	928.3733658
154	925.2273343
155	920.7024882
156	915.0082653
157	910.8738142
158	907.6698929
159	903.0109019
160	898.6591369
161	895.3703101
162	893.2848108
163	890.5812487
164	887.0770552
165	883.7403837
166	882.605775
167	880.0556138
168	874.2260385
169	871.2939686
170	866.9576935
171	861.5077184
172	858.9126805
173	855.8308414
174	851.9886934
175	846.8646382
176	844.5742192
177	839.821226
178	836.8351404
179	834.4822854
180	830.0704109
181	827.7769167
182	826.4537945
183	824.7175628
184	822.5061818
185	817.066865
186	814.8919362
187	812.8864001
188	809.1693607
189	803.5573672
190	801.3193763
191	799.5859526
192	796.6232128
193	794.8113621
194	790.6217411
195	785.2545112
196	780.6432428
197	776.4668635
198	773.6923866
199	770.4858142
200	769.0212354
