iter	Passed	Remaining
0	0	1244
1	1	1088
2	2	1006
3	2	937
4	3	898
5	3	870
6	3	851
7	4	835
8	4	819
9	5	803
10	5	786
11	6	779
12	6	779
13	7	769
14	7	763
15	8	769
16	8	775
17	9	767
18	9	764
19	10	769
20	10	768
21	11	767
22	11	765
23	12	754
24	12	750
25	13	752
26	13	748
27	14	745
28	14	746
29	15	754
30	15	754
31	16	751
32	16	749
33	17	745
34	17	741
35	18	739
36	18	740
37	19	740
38	19	739
39	20	740
40	20	739
41	21	738
42	21	736
43	22	736
44	22	736
45	23	734
46	23	732
47	24	730
48	24	728
49	25	730
50	25	731
51	26	731
52	26	731
53	27	730
54	27	733
55	28	734
56	29	737
57	29	736
58	30	737
59	30	737
60	31	738
61	31	739
62	32	741
63	32	739
64	33	737
65	33	736
66	34	736
67	34	734
68	35	733
69	35	733
70	36	732
71	36	730
72	37	728
73	37	728
74	38	726
75	38	724
76	39	724
77	39	722
78	40	723
79	40	723
80	41	721
81	41	722
82	42	722
83	42	722
84	43	722
85	43	722
86	44	721
87	44	720
88	45	719
89	45	719
90	46	719
91	46	718
92	47	719
93	48	720
94	48	720
95	49	718
96	49	718
97	50	717
98	50	717
99	51	716
100	51	716
101	52	716
102	52	716
103	53	716
104	53	715
105	54	714
106	54	714
107	55	713
108	56	715
109	56	715
110	57	714
111	57	714
112	58	713
113	58	712
114	59	712
115	59	712
116	60	711
117	60	710
118	61	710
119	61	709
120	62	709
121	62	709
122	63	708
123	63	708
124	64	708
125	64	707
126	65	707
127	66	707
128	66	708
129	67	708
130	67	708
131	68	707
132	68	706
133	69	706
134	69	706
135	70	705
136	70	705
137	71	704
138	71	703
139	72	703
140	72	703
141	73	702
142	74	702
143	74	701
144	74	700
145	75	700
146	76	700
147	76	699
148	77	699
149	77	699
150	78	700
151	78	698
152	79	697
153	79	696
154	80	696
155	80	695
156	81	695
157	81	695
158	82	694
159	82	694
160	83	693
161	83	692
162	84	692
163	84	691
164	85	691
165	86	691
166	86	691
167	87	691
168	87	690
169	88	690
170	88	690
171	89	689
172	89	689
173	90	688
174	90	687
175	91	687
176	92	688
177	92	688
178	93	687
179	93	687
180	94	686
181	94	685
182	95	686
183	95	686
184	96	686
185	97	685
186	97	684
187	98	684
188	98	683
189	99	683
190	99	683
191	100	683
192	100	682
193	101	682
194	101	681
195	102	681
196	102	679
197	103	678
198	103	678
199	104	678
200	105	679
201	105	679
202	106	679
203	106	678
204	107	678
205	107	678
206	108	677
207	108	676
208	109	676
209	110	676
210	110	675
211	111	675
212	111	675
213	112	674
214	112	674
215	113	673
216	113	672
217	114	672
218	114	672
219	115	671
220	115	670
221	116	670
222	117	670
223	117	669
224	118	669
225	118	669
226	119	669
227	119	669
228	120	669
229	121	669
230	121	668
231	122	667
232	122	666
233	123	666
234	123	666
235	124	666
236	124	665
237	125	664
238	125	664
239	126	663
240	127	663
241	127	663
242	128	662
243	128	662
244	129	661
245	129	661
246	130	660
247	130	660
248	131	660
249	132	660
250	132	659
251	133	659
252	133	658
253	134	658
254	134	657
255	135	656
256	135	656
257	136	657
258	137	656
259	137	656
260	138	655
261	138	655
262	139	654
263	139	654
264	140	653
265	140	652
266	141	651
267	141	650
268	142	650
269	142	649
270	143	649
271	143	648
272	144	648
273	144	647
274	145	647
275	145	647
276	146	646
277	146	645
278	147	645
279	147	644
280	148	643
281	148	643
282	149	642
283	150	642
284	150	642
285	151	641
286	151	641
287	152	640
288	152	640
289	153	639
290	153	639
291	154	638
292	154	637
293	155	637
294	155	636
295	156	635
296	156	634
297	157	633
298	157	633
299	158	632
300	158	632
301	159	631
302	159	631
303	160	630
304	160	630
305	161	629
306	161	629
307	162	628
308	162	628
309	163	627
310	164	627
311	164	626
312	165	627
313	165	626
314	166	626
315	166	625
316	167	624
317	167	624
318	168	623
319	169	623
320	169	622
321	170	622
322	170	621
323	171	621
324	171	620
325	172	619
326	172	619
327	173	618
328	173	618
329	174	618
330	175	618
331	175	617
332	176	617
333	176	616
334	177	616
335	177	616
336	178	615
337	179	615
338	179	615
339	180	614
340	180	614
341	181	614
342	181	613
343	182	613
344	182	612
345	183	611
346	183	611
347	184	610
348	184	610
349	185	609
350	186	608
351	186	608
352	186	607
353	187	606
354	187	606
355	188	606
356	189	605
357	189	605
358	190	604
359	190	604
360	191	604
361	192	603
362	192	603
363	193	602
364	193	602
365	194	601
366	194	601
367	195	600
368	195	600
369	196	600
370	197	599
371	197	599
372	198	598
373	198	598
374	199	597
375	199	596
376	200	596
377	200	595
378	201	595
379	201	594
380	202	594
381	202	593
382	203	593
383	203	592
384	204	592
385	205	591
386	205	590
387	206	590
388	206	590
389	207	589
390	207	589
391	208	589
392	209	588
393	209	588
394	210	587
395	210	587
396	211	586
397	211	586
398	212	585
399	212	584
400	213	584
401	213	583
402	214	583
403	214	582
404	215	581
405	215	581
406	216	580
407	216	580
408	217	579
409	217	579
410	218	578
411	218	578
412	219	577
413	220	577
414	220	577
415	221	576
416	221	576
417	222	575
418	222	575
419	223	574
420	224	574
421	224	573
422	225	573
423	225	572
424	226	572
425	226	571
426	227	571
427	227	570
428	228	570
429	228	569
430	229	568
431	229	568
432	230	567
433	231	567
434	231	567
435	232	566
436	232	565
437	233	565
438	233	564
439	234	564
440	234	563
441	235	563
442	236	563
443	236	562
444	236	561
445	237	561
446	238	560
447	238	560
448	239	559
449	239	559
450	240	558
451	240	557
452	241	557
453	241	556
454	242	556
455	242	555
456	243	555
457	243	554
458	244	554
459	244	553
460	245	553
461	245	552
462	246	551
463	246	551
464	247	550
465	248	550
466	248	549
467	249	549
468	249	548
469	250	548
470	250	547
471	251	547
472	251	546
473	252	545
474	252	545
475	253	545
476	253	544
477	254	544
478	255	544
479	255	543
480	256	543
481	256	542
482	257	542
483	258	541
484	258	541
485	259	540
486	259	540
487	260	539
488	260	539
489	261	538
490	261	537
491	262	537
492	262	536
493	263	536
494	263	535
495	264	535
496	264	534
497	265	534
498	266	533
499	266	533
500	267	532
501	267	532
502	268	531
503	268	531
504	269	530
505	269	529
506	270	529
507	270	528
508	271	528
509	271	527
510	272	527
511	272	526
512	273	526
513	274	525
514	274	525
515	275	524
516	275	523
517	276	523
518	276	523
519	277	522
520	277	521
521	278	521
522	278	521
523	279	520
524	279	519
525	280	519
526	280	518
527	281	518
528	281	517
529	282	517
530	282	516
531	283	515
532	283	515
533	284	514
534	284	514
535	285	513
536	286	513
537	286	512
538	287	511
539	287	511
540	288	510
541	288	510
542	289	509
543	289	508
544	290	508
545	290	507
546	291	507
547	291	506
548	292	506
549	292	506
550	293	505
551	294	505
552	294	504
553	295	503
554	295	503
555	296	503
556	296	502
557	297	502
558	298	501
559	298	501
560	299	500
561	299	500
562	300	499
563	300	499
564	301	498
565	301	498
566	302	497
567	302	496
568	303	496
569	303	495
570	304	495
571	304	494
572	305	494
573	305	493
574	306	493
575	306	492
576	307	491
577	307	491
578	308	490
579	308	490
580	309	489
581	309	488
582	310	488
583	311	487
584	311	487
585	312	486
586	312	486
587	313	485
588	313	485
589	314	484
590	314	484
591	315	483
592	315	483
593	316	482
594	316	482
595	317	481
596	318	481
597	318	480
598	318	479
599	319	479
600	320	478
601	320	478
602	320	477
603	321	476
604	322	476
605	322	476
606	323	475
607	323	474
608	324	474
609	324	474
610	325	473
611	326	473
612	326	472
613	327	472
614	327	471
615	328	470
616	328	470
617	329	469
618	329	468
619	330	468
620	330	468
621	331	467
622	331	466
623	332	466
624	332	466
625	333	465
626	333	464
627	334	464
628	334	463
629	335	463
630	335	462
631	336	462
632	336	461
633	337	461
634	337	460
635	338	459
636	339	459
637	339	458
638	340	458
639	340	457
640	341	457
641	341	456
642	342	456
643	342	455
644	343	455
645	344	454
646	344	454
647	345	453
648	345	453
649	346	452
650	346	452
651	347	451
652	347	451
653	348	450
654	348	450
655	349	449
656	349	449
657	350	448
658	351	448
659	351	447
660	352	447
661	352	446
662	353	446
663	353	445
664	354	445
665	354	444
666	355	443
667	356	443
668	356	443
669	357	442
670	357	441
671	358	441
672	358	440
673	359	440
674	359	439
675	360	439
676	360	438
677	361	438
678	361	437
679	362	436
680	362	436
681	363	435
682	363	435
683	364	434
684	364	433
685	365	433
686	365	432
687	366	432
688	366	431
689	367	431
690	368	430
691	368	430
692	369	429
693	369	429
694	370	428
695	370	428
696	371	427
697	371	427
698	372	426
699	372	426
700	373	425
701	374	425
702	374	424
703	375	424
704	375	423
705	376	423
706	376	422
707	377	421
708	377	421
709	378	420
710	378	420
711	379	419
712	379	419
713	380	418
714	380	418
715	381	417
716	382	417
717	382	416
718	383	416
719	383	415
720	384	415
721	384	414
722	385	414
723	386	413
724	386	413
725	387	412
726	387	412
727	387	411
728	388	410
729	389	410
730	389	409
731	390	409
732	390	408
733	391	408
734	391	407
735	392	407
736	392	406
737	393	405
738	393	405
739	394	404
740	394	404
741	395	403
742	395	403
743	396	402
744	396	401
745	397	401
746	397	401
747	398	400
748	398	399
749	399	399
750	399	398
751	400	398
752	400	397
753	401	396
754	401	396
755	402	395
756	402	395
757	403	394
758	403	394
759	404	393
760	404	393
761	405	392
762	405	391
763	406	391
764	406	390
765	407	390
766	407	389
767	408	389
768	408	388
769	409	388
770	409	387
771	410	386
772	410	386
773	411	385
774	411	385
775	412	384
776	412	384
777	413	383
778	413	383
779	414	382
780	415	382
781	415	381
782	416	381
783	416	380
784	417	379
785	417	379
786	418	379
787	419	378
788	419	378
789	420	377
790	420	377
791	421	376
792	421	376
793	422	375
794	422	374
795	423	374
796	423	373
797	424	373
798	425	372
799	425	372
800	426	371
801	426	371
802	427	370
803	427	370
804	428	369
805	428	369
806	429	368
807	429	368
808	430	367
809	430	367
810	431	366
811	431	365
812	432	365
813	432	364
814	433	364
815	434	363
816	434	363
817	435	362
818	435	362
819	436	361
820	436	361
821	437	360
822	437	360
823	438	359
824	438	358
825	439	358
826	439	357
827	440	357
828	440	356
829	441	356
830	442	355
831	442	355
832	443	354
833	443	354
834	444	353
835	444	353
836	445	352
837	445	352
838	446	351
839	446	351
840	447	350
841	448	350
842	448	349
843	449	349
844	449	348
845	450	348
846	450	347
847	451	346
848	451	346
849	452	345
850	452	345
851	453	344
852	453	344
853	454	343
854	454	343
855	455	342
856	456	342
857	456	341
858	457	341
859	457	340
860	458	340
861	458	339
862	459	338
863	459	338
864	460	337
865	460	337
866	461	336
867	461	336
868	462	335
869	462	335
870	463	334
871	464	334
872	464	333
873	465	333
874	465	332
875	466	332
876	466	331
877	467	331
878	467	330
879	468	330
880	469	329
881	469	328
882	470	328
883	470	327
884	471	327
885	471	326
886	472	326
887	472	325
888	473	325
889	473	324
890	474	324
891	474	323
892	475	323
893	476	322
894	476	322
895	477	321
896	477	321
897	478	320
898	478	319
899	479	319
900	479	318
901	480	318
902	480	317
903	481	317
904	481	316
905	482	316
906	482	315
907	483	315
908	483	314
909	484	314
910	484	313
911	485	312
912	485	312
913	486	311
914	486	311
915	487	310
916	487	310
917	488	309
918	489	309
919	489	308
920	490	308
921	490	307
922	491	307
923	491	306
924	492	306
925	492	305
926	493	304
927	493	304
928	494	303
929	494	303
930	495	302
931	496	302
932	496	301
933	497	301
934	497	300
935	498	300
936	498	299
937	499	299
938	499	298
939	500	297
940	500	297
941	501	296
942	501	296
943	502	295
944	502	295
945	503	294
946	503	294
947	504	293
948	504	293
949	505	292
950	505	292
951	506	291
952	506	290
953	507	290
954	507	289
955	508	289
956	508	288
957	509	288
958	510	287
959	510	287
960	511	286
961	511	286
962	512	285
963	512	285
964	513	284
965	513	283
966	514	283
967	514	282
968	515	282
969	516	281
970	516	281
971	517	280
972	517	280
973	518	279
974	518	279
975	519	278
976	519	278
977	520	277
978	520	277
979	521	276
980	521	276
981	522	275
982	523	275
983	523	274
984	524	274
985	524	273
986	525	272
987	525	272
988	526	271
989	526	271
990	526	270
991	527	270
992	528	269
993	528	269
994	528	268
995	529	267
996	529	267
997	530	266
998	530	266
999	531	265
1000	531	265
1001	532	264
1002	533	264
1003	533	263
1004	534	263
1005	534	262
1006	535	262
1007	535	261
1008	536	261
1009	536	260
1010	537	259
1011	537	259
1012	538	258
1013	538	258
1014	539	257
1015	540	257
1016	540	256
1017	540	256
1018	541	255
1019	542	255
1020	542	254
1021	543	254
1022	543	253
1023	544	252
1024	544	252
1025	545	251
1026	545	251
1027	546	250
1028	546	250
1029	547	249
1030	548	249
1031	548	248
1032	549	248
1033	549	247
1034	550	247
1035	550	246
1036	551	246
1037	551	245
1038	552	245
1039	552	244
1040	553	243
1041	553	243
1042	554	242
1043	555	242
1044	555	241
1045	556	241
1046	556	240
1047	557	240
1048	557	239
1049	558	239
1050	558	238
1051	559	238
1052	559	237
1053	560	237
1054	561	236
1055	561	236
1056	562	235
1057	562	235
1058	563	234
1059	563	234
1060	564	233
1061	564	232
1062	565	232
1063	566	231
1064	566	231
1065	567	230
1066	567	230
1067	568	229
1068	568	229
1069	569	228
1070	569	228
1071	570	227
1072	570	227
1073	571	226
1074	571	226
1075	572	225
1076	572	224
1077	573	224
1078	573	223
1079	574	223
1080	574	222
1081	575	222
1082	575	221
1083	576	221
1084	577	220
1085	577	220
1086	578	219
1087	579	219
1088	579	218
1089	580	218
1090	580	217
1091	581	217
1092	581	216
1093	582	216
1094	583	215
1095	583	215
1096	584	214
1097	584	214
1098	585	213
1099	585	213
1100	586	212
1101	586	211
1102	587	211
1103	587	210
1104	588	210
1105	588	209
1106	589	209
1107	589	208
1108	590	208
1109	591	207
1110	591	207
1111	592	206
1112	592	206
1113	593	205
1114	593	205
1115	594	204
1116	594	203
1117	595	203
1118	595	202
1119	596	202
1120	596	201
1121	597	201
1122	598	200
1123	598	200
1124	599	199
1125	599	199
1126	600	198
1127	601	198
1128	601	197
1129	602	197
1130	602	196
1131	603	196
1132	603	195
1133	604	194
1134	604	194
1135	605	193
1136	605	193
1137	606	192
1138	606	192
1139	607	191
1140	607	191
1141	608	190
1142	608	190
1143	609	189
1144	609	189
1145	610	188
1146	610	187
1147	611	187
1148	612	186
1149	612	186
1150	613	185
1151	613	185
1152	614	184
1153	614	184
1154	615	183
1155	615	183
1156	616	182
1157	616	182
1158	617	181
1159	617	181
1160	618	180
1161	619	180
1162	619	179
1163	620	178
1164	620	178
1165	621	177
1166	621	177
1167	622	176
1168	622	176
1169	623	175
1170	623	175
1171	624	174
1172	624	174
1173	625	173
1174	626	173
1175	626	172
1176	627	172
1177	627	171
1178	628	171
1179	628	170
1180	629	169
1181	629	169
1182	630	168
1183	630	168
1184	631	167
1185	631	167
1186	632	166
1187	632	166
1188	633	165
1189	633	165
1190	634	164
1191	634	164
1192	635	163
1193	635	162
1194	636	162
1195	636	161
1196	637	161
1197	637	160
1198	638	160
1199	638	159
1200	639	159
1201	639	158
1202	640	158
1203	640	157
1204	641	157
1205	642	156
1206	642	156
1207	643	155
1208	643	154
1209	644	154
1210	644	153
1211	645	153
1212	645	152
1213	646	152
1214	646	151
1215	647	151
1216	647	150
1217	648	150
1218	649	149
1219	649	149
1220	650	148
1221	650	148
1222	651	147
1223	651	146
1224	652	146
1225	652	145
1226	653	145
1227	653	144
1228	654	144
1229	654	143
1230	655	143
1231	655	142
1232	656	142
1233	657	141
1234	657	141
1235	658	140
1236	658	140
1237	659	139
1238	659	138
1239	660	138
1240	660	137
1241	661	137
1242	662	136
1243	662	136
1244	663	135
1245	663	135
1246	664	134
1247	664	134
1248	665	133
1249	665	133
1250	666	132
1251	666	132
1252	667	131
1253	667	131
1254	668	130
1255	669	129
1256	669	129
1257	670	128
1258	670	128
1259	671	127
1260	671	127
1261	672	126
1262	672	126
1263	673	125
1264	673	125
1265	674	124
1266	674	124
1267	675	123
1268	676	123
1269	676	122
1270	676	121
1271	677	121
1272	678	120
1273	678	120
1274	679	119
1275	679	119
1276	680	118
1277	681	118
1278	681	117
1279	682	117
1280	682	116
1281	683	116
1282	683	115
1283	684	115
1284	685	114
1285	685	114
1286	686	113
1287	686	113
1288	687	112
1289	687	111
1290	688	111
1291	688	110
1292	689	110
1293	689	109
1294	690	109
1295	690	108
1296	691	108
1297	691	107
1298	692	107
1299	692	106
1300	693	106
1301	693	105
1302	694	105
1303	695	104
1304	695	103
1305	696	103
1306	696	102
1307	697	102
1308	697	101
1309	698	101
1310	698	100
1311	699	100
1312	699	99
1313	700	99
1314	700	98
1315	701	98
1316	701	97
1317	702	96
1318	702	96
1319	703	95
1320	703	95
1321	704	94
1322	704	94
1323	705	93
1324	705	93
1325	706	92
1326	706	92
1327	707	91
1328	707	91
1329	708	90
1330	709	90
1331	709	89
1332	710	88
1333	710	88
1334	711	87
1335	711	87
1336	712	86
1337	713	86
1338	713	85
1339	714	85
1340	714	84
1341	715	84
1342	715	83
1343	716	83
1344	716	82
1345	717	82
1346	717	81
1347	718	81
1348	719	80
1349	719	79
1350	720	79
1351	720	78
1352	721	78
1353	721	77
1354	722	77
1355	722	76
1356	723	76
1357	724	75
1358	724	75
1359	725	74
1360	725	74
1361	726	73
1362	726	73
1363	727	72
1364	727	71
1365	728	71
1366	729	70
